1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.01,0,152,2.9605,2.9605,0,296.05,0,0,49889,0,0,44999,296.05,0,0,0,0,0,0,2.1211,88.746,27,0.0408,0.17879
0.02,0.029605,151.96,5.9162,5.9162,0,295.57,0,0,49803,6.0663,0,44915,295.57,0,0,0,0,0,0,2.1222,88.703,26.958,0.0408,0.71403
0.03,0.088767,151.92,8.8672,8.8672,0,295.1,0,0,49717,24.227,0,44830,295.1,0,0,0,0,0,0,2.1233,88.659,26.916,0.0408,1.604
0.04,0.17744,151.87,11.813,11.813,0,294.63,0,0,49632,54.422,0,44746,294.63,0,0,0,0,0,0,2.1244,88.616,26.874,0.0408,2.847
0.05,0.29557,151.83,14.749,14.749,0,293.51,0,0,49546,96.596,0,44565,293.51,0,0,0,0,0,0,2.1255,88.573,26.832,0.0408,4.4374
0.06,0.44306,151.79,17.675,17.675,0,292.68,0,0,49460,150.56,0,44426,292.68,0,0,0,0,0,0,2.1266,88.53,26.79,0.0408,6.3734
0.07,0.61981,151.75,20.593,20.593,0,291.78,0,0,49374,216.24,0,44276,291.78,0,0,0,0,0,0,2.1277,88.486,26.747,0.0408,8.6512
0.08,0.82575,151.71,23.501,23.501,0,290.79,0,0,49288,293.53,0,44114,290.79,0,0,0,0,0,0,2.1288,88.443,26.705,0.0408,11.267
0.09,1.0608,151.66,26.398,26.398,0,289.73,0,0,49202,382.28,0,43941,289.73,0,0,0,0,0,0,2.1299,88.4,26.663,0.0408,14.216
0.1,1.3247,151.62,29.284,29.284,0,288.59,0,0,49117,482.35,0,43757,288.59,0,0,0,0,0,0,2.131,88.356,26.621,0.0408,17.494
0.11,1.6176,151.58,32.158,32.158,0,287.38,0,0,49031,593.57,0,43561,287.38,0,0,0,0,0,0,2.1321,88.313,26.579,0.0408,21.097
0.12,1.9392,151.54,35.019,35.019,0,286.1,0,0,48945,715.79,0,43354,286.1,0,0,0,0,0,0,2.1333,88.27,26.537,0.0408,25.017
0.13,2.2894,151.49,37.866,37.866,0,284.74,0,0,48859,848.81,0,43137,284.74,0,0,0,0,0,0,2.1344,88.227,26.495,0.0408,29.251
0.14,2.668,151.45,40.7,40.7,0,283.31,0,0,48773,992.46,0,42909,283.31,0,0,0,0,0,0,2.1355,88.183,26.453,0.0408,33.792
0.15,3.075,151.41,43.518,43.518,0,281.82,0,0,48688,1146.5,0,42670,281.82,0,0,0,0,0,0,2.1366,88.14,26.411,0.0408,38.634
0.16,3.5102,151.37,46.32,46.32,0,280.25,0,0,48602,1310.8,0,42421,280.25,0,0,0,0,0,0,2.1377,88.097,26.369,0.0408,43.77
0.17,3.9734,151.33,49.107,49.107,0,278.62,0,0,48516,1485.1,0,42163,278.62,0,0,0,0,0,0,2.1388,88.053,26.326,0.0408,49.194
0.18,4.4645,151.28,51.876,51.876,0,276.92,0,0,48430,1669.1,0,41894,276.92,0,0,0,0,0,0,2.1399,88.01,26.284,0.0408,54.898
0.19,4.9832,151.24,54.627,54.627,0,275.16,0,0,48344,1862.7,0,41616,275.16,0,0,0,0,0,0,2.141,87.967,26.242,0.0408,60.877
0.2,5.5295,151.2,57.361,57.361,0,273.34,0,0,48258,2065.5,0,41329,273.34,0,0,0,0,0,0,2.1421,87.924,26.2,0.0408,67.121
0.21,6.1031,151.16,60.075,60.075,0,271.45,0,0,48173,2277.4,0,41032,271.45,0,0,0,0,0,0,2.1432,87.88,26.158,0.0408,73.624
0.22,6.7039,151.12,62.77,62.77,0,269.51,0,0,48087,2498,0,40727,269.51,0,0,0,0,0,0,2.1443,87.837,26.116,0.0408,80.379
0.23,7.3316,151.07,65.445,65.445,0,267.51,0,0,48001,2727.2,0,40414,267.51,0,0,0,0,0,0,2.1454,87.794,26.074,0.0408,87.376
0.24,7.986,151.03,68.1,68.1,0,265.45,0,0,47915,2964.6,0,40092,265.45,0,0,0,0,0,0,2.1465,87.751,26.032,0.0408,94.607
0.25,8.667,150.99,70.733,70.733,0,263.34,0,0,47829,3209.9,0,39762,263.34,0,0,0,0,0,0,2.1477,87.707,25.99,0.0408,102.07
0.26,9.3743,150.95,73.345,73.345,0,261.18,0,0,47743,3463,0,39424,261.18,0,0,0,0,0,0,2.1488,87.664,25.947,0.0408,109.74
0.27,10.108,150.91,75.935,75.935,0,258.97,0,0,47658,3723.5,0,39080,258.97,0,0,0,0,0,0,2.1499,87.621,25.905,0.0408,117.63
0.28,10.867,150.86,78.502,78.502,0,256.71,0,0,47572,3991,0,38727,256.71,0,0,0,0,0,0,2.151,87.577,25.863,0.0408,125.72
0.29,11.652,150.82,81.046,81.046,0,254.4,0,0,47486,4265.4,0,38369,254.4,0,0,0,0,0,0,2.1521,87.534,25.821,0.0408,134
0.3,12.463,150.78,83.566,83.566,0,252.05,0,0,47400,4546.4,0,38003,252.05,0,0,0,0,0,0,2.1532,87.491,25.779,0.0408,142.46
0.31,13.298,150.74,86.063,86.063,0,249.65,0,0,47314,4833.6,0,37632,249.65,0,0,0,0,0,0,2.1543,87.448,25.737,0.0408,151.1
0.32,14.159,150.69,88.535,88.535,0,247.21,0,0,47228,5126.7,0,37254,247.21,0,0,0,0,0,0,2.1554,87.404,25.695,0.0408,159.9
0.33,15.044,150.65,90.982,90.982,0,244.74,0,0,47143,5425.4,0,36871,244.74,0,0,0,0,0,0,2.1565,87.361,25.653,0.0408,168.87
0.34,15.954,150.61,93.405,93.405,0,242.23,0,0,47057,5729.5,0,36482,242.23,0,0,0,0,0,0,2.1576,87.318,25.611,0.0408,177.98
0.35,16.888,150.57,95.802,95.802,0,239.68,0,0,46971,6038.7,0,36089,239.68,0,0,0,0,0,0,2.1587,87.274,25.569,0.0408,187.23
0.36,17.846,150.53,98.173,98.173,0,237.1,0,0,46885,6352.6,0,35690,237.1,0,0,0,0,0,0,2.1598,87.231,25.526,0.0408,196.61
0.37,18.828,150.48,100.52,100.52,0,234.49,0,0,46799,6670.9,0,35287,234.49,0,0,0,0,0,0,2.1609,87.188,25.484,0.0408,206.12
0.38,19.833,150.44,102.84,102.84,0,231.85,0,0,46714,6993.4,0,34880,231.85,0,0,0,0,0,0,2.1621,87.145,25.442,0.0408,215.74
0.39,20.861,150.4,105.13,105.13,0,229.19,0,0,46628,7319.7,0,34470,229.19,0,0,0,0,0,0,2.1632,87.101,25.4,0.0408,225.46
0.4,21.913,150.36,107.39,107.39,0,226.49,0,0,46542,7649.6,0,34055,226.49,0,0,0,0,0,0,2.1643,87.058,25.358,0.0408,235.28
0.41,22.987,150.32,109.63,109.63,0,223.78,0,0,46456,7982.8,0,33638,223.78,0,0,0,0,0,0,2.1654,87.015,25.316,0.0408,245.18
0.42,24.083,150.27,111.84,111.84,0,221.04,0,0,46370,8318.9,0,33217,221.04,0,0,0,0,0,0,2.1665,86.971,25.274,0.0408,255.17
0.43,25.201,150.23,114.02,114.02,0,218.29,0,0,46284,8657.8,0,32794,218.29,0,0,0,0,0,0,2.1676,86.928,25.232,0.0408,265.23
0.44,26.342,150.19,116.18,116.18,0,215.51,0,0,46199,8999,0,32368,215.51,0,0,0,0,0,0,2.1687,86.885,25.19,0.0408,275.35
0.45,27.503,150.15,118.31,118.31,0,212.72,0,0,46113,9342.4,0,31940,212.72,0,0,0,0,0,0,2.1698,86.842,25.148,0.0408,285.53
0.46,28.686,150.11,120.41,120.41,0,209.92,0,0,46027,9687.7,0,31510,209.92,0,0,0,0,0,0,2.1709,86.798,25.105,0.0408,295.75
0.47,29.89,150.06,122.48,122.48,0,207.11,0,0,45941,10035,0,31079,207.11,0,0,0,0,0,0,2.172,86.755,25.063,0.0408,306.01
0.48,31.115,150.02,124.52,124.52,0,204.28,0,0,45855,10383,0,30646,204.28,0,0,0,0,0,0,2.1731,86.712,25.021,0.0408,316.3
0.49,32.36,149.98,126.53,126.53,0,201.45,0,0,45769,10732,0,30213,201.45,0,0,0,0,0,0,2.1742,86.668,24.979,0.0408,326.62
0.5,33.626,149.94,128.52,128.52,0,198.6,0,0,45684,11082,0,29778,198.6,0,0,0,0,0,0,2.1754,86.625,24.937,0.0408,336.95
0.51,34.911,149.9,130.48,130.48,0,195.76,0,0,45598,11433,0,29343,195.76,0,0,0,0,0,0,2.1765,86.582,24.895,0.0408,347.3
0.52,36.216,149.85,132.41,132.41,0,192.91,0,0,45512,11784,0,28908,192.91,0,0,0,0,0,0,2.1776,86.539,24.853,0.0408,357.64
0.53,37.54,149.81,134.31,134.31,0,190.05,0,0,45426,12135,0,28472,190.05,0,0,0,0,0,0,2.1787,86.495,24.811,0.0408,367.98
0.54,38.883,149.77,136.18,136.18,0,187.2,0,0,45340,12485,0,28037,187.2,0,0,0,0,0,0,2.1798,86.452,24.769,0.0408,378.31
0.55,40.245,149.73,138.02,138.02,0,184.35,0,0,45254,12836,0,27602,184.35,0,0,96.817,1.1205,0.011205,0,2.1809,86.409,24.727,0.0408,388.62
0.56,41.625,149.68,139.84,139.84,0,181.5,0,0.0064209,45169,13186,0,27168,181.5,0,0,97.257,1.1261,0.022466,-22.674,2.182,86.366,24.684,0.0408,398.91
0.57,43.023,149.64,141.62,141.62,0.00034175,178.65,0.034175,0.019295,45083,13535,0.062671,26734,178.65,5.114,0.034175,55.439,0.64224,0.028888,-45.429,2.1818,86.322,24.642,0.0408,409.17
0.58,44.44,149.6,143.38,143.38,0.0013696,175.81,0.10279,0.03585,44997,13883,0.19335,26302,175.81,15.377,0.10279,49.532,0.57409,0.034629,-58.371,2.1802,86.279,24.6,0.0408,419.39
0.59,45.873,149.56,145.11,145.11,0.003282,172.98,0.19123,0.055695,44911,14230,0.36866,25870,172.98,28.6,0.19123,47.235,0.54774,0.040106,-69.918,2.1779,86.236,24.558,0.0408,429.57
0.6,47.324,149.52,146.81,146.81,0.006257,170.15,0.2975,0.078678,44825,14575,0.58747,25440,170.15,44.482,0.2975,47.616,0.55243,0.045631,-80.915,2.1749,86.192,24.516,0.0408,439.71
0.61,48.793,149.47,148.49,148.49,0.010466,167.33,0.42088,0.10483,44740,14919,0.85089,25012,167.33,62.911,0.42088,50.066,0.58116,0.051442,-91.99,2.1713,86.149,24.474,0.0408,449.79
0.62,50.277,149.43,150.13,150.13,0.016082,164.53,0.56159,0.13431,44654,15261,1.1619,24586,164.53,83.92,0.56159,54.207,0.62954,0.057738,-103.63,2.167,86.106,24.432,0.0408,459.81
0.63,51.779,149.39,151.75,151.75,0.023288,161.73,0.72059,0.16739,44568,15601,1.525,24161,161.73,107.65,0.72059,59.818,0.69506,0.064688,-116.22,2.1621,86.063,24.39,0.0408,469.77
0.64,53.296,149.35,153.34,153.34,0.032282,158.95,0.89942,0.20447,44482,15939,1.9465,23738,158.95,134.33,0.89942,66.795,0.77651,0.072453,-130.11,2.1565,86.019,24.348,0.0408,479.66
0.65,54.83,149.31,154.9,154.9,0.043284,156.18,1.1002,0.24599,44396,16275,2.4341,23318,156.18,164.26,1.1002,75.114,0.87367,0.08119,-145.62,2.1501,85.976,24.306,0.0408,489.48
0.66,56.379,149.26,156.43,156.43,0.056538,153.42,1.3254,0.29251,44310,16608,2.9972,22900,153.42,197.84,1.3254,84.815,0.98699,0.09106,-163.05,2.1428,85.933,24.264,0.0408,499.23
0.67,57.943,149.22,157.94,157.94,0.07232,150.68,1.5782,0.3447,44225,16938,3.6472,22485,150.68,235.51,1.5782,95.98,1.1175,0.10223,-182.73,2.1346,85.889,24.221,0.0408,508.89
0.68,59.522,149.18,159.42,159.42,0.090942,147.96,1.8621,0.40328,44139,17266,4.3973,22073,147.96,277.79,1.8621,108.73,1.2666,0.1149,-205,2.1254,85.846,24.179,0.0408,518.47
0.69,61.117,149.14,160.87,160.87,0.11275,145.25,2.1813,0.46913,44053,17591,5.2633,21663,145.25,325.31,2.1813,123.21,1.4359,0.12926,-230.22,2.1149,85.803,24.137,0.0408,527.96
0.7,62.725,149.1,162.3,162.3,0.13816,142.57,2.5403,0.5432,43967,17913,6.2637,21256,142.57,378.74,2.5403,139.59,1.6276,0.14554,-258.79,2.1032,85.76,24.095,0.0408,537.36
0.71,64.348,149.05,163.7,163.7,0.1676,139.9,2.9445,0.62661,43881,18232,7.4202,20852,139.9,438.88,2.9445,158.05,1.8438,0.16397,-291.15,2.09,85.716,24.053,0.0408,546.66
0.72,65.985,149.01,165.07,165.07,0.2016,137.25,3.3998,0.72057,43795,18548,8.7584,20451,137.25,506.61,3.3998,178.79,2.0868,0.18484,-327.79,2.0751,85.673,24.011,0.0408,555.87
0.73,67.636,148.97,166.42,166.42,0.24073,134.62,3.9131,0.8265,43710,18860,10.308,20054,134.62,582.93,3.9131,202,2.359,0.20843,-369.22,2.0585,85.63,23.969,0.0408,564.97
0.74,69.3,148.93,167.74,167.74,0.28565,132.01,4.492,0.94595,43624,19169,12.105,19659,132.01,668.97,4.492,227.87,2.6625,0.23506,-416.01,2.0399,85.586,23.927,0.0408,573.97
0.75,70.978,148.88,169.03,169.03,0.3371,129.42,5.1449,1.0806,43538,19474,14.191,19268,129.42,765.99,5.1449,256.58,2.9994,0.26505,-468.79,2.019,85.543,23.885,0.0408,582.86
0.76,72.668,148.84,170.3,170.3,0.39591,126.85,5.8813,1.2325,43452,19776,16.613,18880,126.85,875.39,5.8813,288.27,3.3716,0.29877,-528.2,1.9959,85.5,23.842,0.0408,591.65
0.77,74.371,148.8,171.54,171.54,0.46303,124.3,6.7119,1.4038,43366,20074,19.43,18496,124.3,998.74,6.7119,323.03,3.7801,0.33657,-594.93,1.9701,85.457,23.8,0.0408,600.31
0.78,76.086,148.76,172.76,172.76,0.53952,121.77,7.6483,1.5966,43280,20368,22.71,18114,121.77,1137.8,7.6483,360.89,4.2252,0.37882,-669.69,1.9415,85.413,23.758,0.0408,608.87
0.79,77.814,148.72,173.95,173.95,0.62655,119.26,8.7034,1.8137,43195,20658,26.532,17736,119.26,1294.3,8.7034,401.78,4.7064,0.42588,-753.17,1.9101,85.37,23.716,0.0408,617.31
0.8,79.554,148.67,175.12,175.12,0.72546,116.77,9.8911,2.0578,43109,20945,30.988,17361,116.77,1470.6,9.8911,445.52,5.2214,0.4781,-846.09,1.8754,85.327,23.674,0.0408,625.62
0.81,81.305,148.63,176.27,176.26,0.83773,114.3,11.227,2.3318,43023,21227,36.19,16988,114.3,1668.6,11.227,491.78,5.7665,0.53576,-949.08,1.8375,85.283,23.632,0.0408,633.82
0.82,83.067,148.59,177.38,177.38,0.96499,111.84,12.727,2.6388,42937,21505,42.265,16618,111.84,1891,12.727,540.07,6.3358,0.59912,-1062.7,1.7963,85.24,23.59,0.0408,641.89
0.83,84.841,148.55,178.48,178.48,1.1091,109.4,14.408,2.9821,42851,21779,49.363,16251,109.4,2140.3,14.408,589.68,6.9214,0.66833,-1187.5,1.7516,85.197,23.548,0.0408,649.84
0.84,86.626,148.51,179.55,179.55,1.272,106.97,16.289,3.3651,42766,22049,57.659,15885,106.97,2419,16.289,639.72,7.5125,0.74346,-1323.6,1.7034,85.154,23.506,0.0408,657.66
0.85,88.421,148.46,180.6,180.59,1.4559,104.54,18.389,3.7912,42680,22314,67.352,15521,104.54,2730.1,18.389,689.05,8.096,0.82442,-1471.3,1.652,85.11,23.464,0.0408,665.35
0.86,90.227,148.42,181.62,181.61,1.6631,102.12,20.727,4.2636,42594,22575,78.676,15157,102.12,3076.3,20.727,736.36,8.6562,0.91098,-1630.2,1.5973,85.067,23.421,0.0408,672.91
0.87,92.043,148.38,182.62,182.61,1.8963,99.701,23.321,4.7857,42508,22831,91.893,14794,99.701,3460.4,23.321,780.12,9.1753,1.0027,-1800,1.5396,85.024,23.379,0.0408,680.34
0.88,93.87,148.34,183.6,183.58,2.1582,97.274,26.192,5.3603,42422,23083,107.3,14429,97.274,3885.2,26.192,818.68,9.6337,1.0991,-1979.7,1.4792,84.981,23.337,0.0408,687.63
0.89,95.705,148.3,184.55,184.53,2.4518,94.834,29.355,5.9901,42336,23331,125.24,14063,94.834,4353.2,29.355,850.31,10.011,1.1992,-2168.2,1.4165,84.937,23.295,0.0408,694.77
0.9,97.551,148.25,185.48,185.45,2.7801,92.375,32.827,6.6774,42251,23573,146.06,13695,92.375,4866.8,32.827,873.29,10.287,1.302,-2363.9,1.3519,84.894,23.253,0.0408,701.78
0.91,99.405,148.21,186.38,186.35,3.1463,89.889,36.622,7.4235,42165,23811,170.18,13322,89.889,5427.8,36.622,886.02,10.442,1.4065,-2564.6,1.286,84.851,23.211,0.0408,708.64
0.96,101.27,148.17,190.79,190.72,5.1838,87.367,40.75,11.454,42079,24044,198.02,12945,87.367,6037.9,40.75,887.12,10.46,1.9295,-2768.2,1.2192,84.807,23.169,0.0408,742.59
1.01,110.8,147.96,194.6,194.42,8.3357,74.009,63.038,16.982,41650,25196,381.04,10950,74.009,9327,63.038,614.7,7.2668,2.2928,-3782.7,0.92764,84.591,22.958,0.0408,772.54
1.06,120.53,147.75,197.79,197.36,13.021,58.835,93.71,23.552,41221,26212,716.59,8692.7,58.835,13845,93.71,158.41,1.8774,2.3867,-4477.3,0.65226,84.375,22.748,0.0408,798.09
1.11,130.39,147.54,200.39,199.44,19.535,41.525,130.28,30.391,40792,27079,1246,6126.6,41.525,19221,130.28,-395.75,-4.7025,2.1516,-4642.2,0.4322,84.158,22.537,0.0408,819.22
1.16,140.37,147.33,202.53,200.6,27.955,23.102,168.4,36.556,40362,27796,1952.8,3403.6,23.102,24810,168.4,-741.33,-8.8315,1.71,-4168.3,0.27421,83.942,22.327,0.0408,836.81
1.21,150.4,147.12,204.47,200.89,38.116,5.8162,203.21,41.455,39933,28392,2734.4,855.66,5.8162,29896,203.21,-779.55,-9.3108,1.2445,-3299.6,0.17043,83.725,22.116,0.0408,852.88
1.26,160.44,146.91,206.54,200.46,49.737,-8.5075,232.41,45.021,39504,28938,3468.2,-1249.8,-8.5075,34143,232.41,-619.33,-7.4163,0.87364,-2391.7,0.10648,83.509,21.906,0.0408,870.23
1.31,170.46,146.7,209.07,199.49,62.566,-19.487,256.58,47.524,39075,29526,4091.2,-2858.7,-19.487,37639,256.58,-418.12,-5.0199,0.62265,-1672.3,0.068741,83.293,21.695,0.0408,891.67
1.36,180.44,146.48,212.33,198.1,76.447,-27.826,277.64,49.308,38646,30254,4613.5,-4076.1,-27.826,40669,277.64,-258.52,-3.1119,0.46706,-1187.1,0.046904,83.076,21.485,0.0408,919.75
1.41,190.34,146.27,216.57,196.37,91.324,-34.494,297.54,50.647,38217,31206,5081.2,-5045.6,-34.494,43522,297.54,-152.8,-1.844,0.37485,-886.82,0.034258,82.86,21.274,0.0408,956.79
1.46,200.16,146.06,221.97,194.36,107.21,-40.268,317.81,51.721,37788,32463,5544.5,-5881.7,-40.268,46421,317.81,-87.174,-1.0548,0.32211,-708.86,0.026817,82.643,21.064,0.0408,1005.1
1.51,209.88,145.85,228.73,192.07,124.2,-45.646,339.67,52.644,37359,34102,6047.1,-6657.6,-45.646,49542,339.67,-46.634,-0.56577,0.29382,-606.64,0.022323,82.427,20.853,0.0408,1067.3
1.56,219.48,145.64,237.07,189.53,142.41,-50.903,364.15,53.486,36929,36212,6628,-7413.6,-50.903,53036,364.15,-20.954,-0.25488,0.28108,-551.1,0.0195,82.211,20.643,0.0408,1146.5
1.61,228.96,145.43,247.22,186.72,162.02,-56.16,392.34,54.291,36500,38900,7325.4,-8167.5,-56.16,57058,392.34,-4.0967,-0.049963,0.27858,-525.03,0.017611,81.994,20.432,0.0408,1246.8
1.66,238.29,145.22,259.47,183.65,183.3,-61.421,425.47,55.089,36071,42302,8182.9,-8919.7,-61.421,61787,425.47,7.3149,0.089448,0.28305,-518.21,0.016217,81.778,20.222,0.0408,1373.4
1.71,247.48,145.01,274.19,180.32,206.55,-66.591,465.07,55.9,35642,46599,9254,-9656.5,-66.591,67440,465.07,15.098,0.18511,0.29231,-524.35,0.015044,81.561,20.011,0.0408,1533.6
1.76,256.49,144.8,291.82,176.75,232.21,-71.468,513.14,56.738,35213,52035,10609,-10349,-71.468,74303,513.14,20.138,0.24756,0.30469,-539.24,0.013921,81.345,19.801,0.0408,1737.3
1.81,265.33,144.59,312.96,172.96,260.82,-75.716,572.35,57.611,34784,58943,12344,-10948,-75.716,82756,572.35,22.737,0.28026,0.3187,-559.73,0.012741,81.128,19.59,0.0408,1998.1
1.86,273.98,144.38,338.38,169.02,293.14,-78.823,646.39,58.524,34355,67793,14595,-11380,-78.823,93326,646.39,22.813,0.28195,0.3328,-583.01,0.011444,80.912,19.38,0.0408,2335.8
1.91,282.43,144.17,369.11,165.02,330.17,-80.016,740.49,59.478,33925,79252,17554,-11536,-80.016,1.0676e+05,740.49,20.066,0.24866,0.34523,-606.23,0.010009,80.696,19.169,0.0408,2779.3
1.96,290.68,143.96,406.57,161.11,373.28,-78.134,862.26,60.467,33496,94301,21507,-11248,-78.134,1.2413e+05,862.26,14.192,0.17634,0.35405,-626.22,0.0084521,80.479,18.959,0.0408,3372
2.01,298.74,143.75,452.73,157.54,424.44,-71.425,1023.1,61.481,33067,1.1441e+05,26886,-10267,-71.425,1.4707e+05,1023.1,5.2844,0.065839,0.35734,-639.48,0.0068223,80.263,18.748,0.0408,4181.3
2.06,306.61,143.54,510.47,154.68,486.47,-57.183,1240.7,62.505,32638,1.4187e+05,34361,-8208,-57.183,1.7809e+05,1240.7,-5.423,-0.067748,0.35395,-642.67,0.0052052,80.046,18.538,0.0408,5315.8
2.11,314.35,143.33,584.08,153.13,563.65,-31.124,1543.6,63.519,32209,1.8036e+05,45016,-4461,-31.124,2.2124e+05,1543.6,-14.319,-0.17937,0.34498,-633.85,0.0037146,79.83,18.327,0.0408,6959.5
2.16,322,143.12,680.27,153.82,662.65,13.849,1980.1,64.508,31780,2.3613e+05,60687,1982,13.849,2.8338e+05,1980.1,-13.882,-0.17436,0.33627,-615.13,0.0024742,79.614,18.117,0.0408,9440.5
2.21,329.7,142.91,810.1,158.33,794.48,90.25,2636.5,65.471,31351,3.2031e+05,84673,12897,90.25,3.7677e+05,2636.5,7.025,0.088479,0.34069,-596.99,0.0015747,79.397,17.906,0.0408,13388
2.26,337.61,142.7,992.95,169.44,978.38,222.14,3678.1,66.448,30922,4.5424e+05,1.2337e+05,31699,222.14,5.2485e+05,3678.1,51.415,0.64934,0.37316,-602.22,0.00099249,79.181,17.696,0.0408,20113
2.31,346.08,142.49,1265.6,192.49,1250.9,461.12,5449.6,67.517,30492,6.8242e+05,1.9043e+05,65702,461.12,7.7649e+05,5449.6,57.53,0.72855,0.40958,-656.73,0.00047974,78.964,17.485,0.0408,32675
2.36,355.71,142.27,1705.4,239.09,1688.5,931.94,8753.4,68.69,30063,1.1086e+06,3.1853e+05,1.3259e+05,931.94,1.2454e+06,8753.4,-273.22,-3.4696,0.23611,-717.68,-0.00044296,78.748,17.275,0.0408,59329
2.41,367.66,142.06,2499,337.65,2476.1,1971.2,15752,69.367,29634,2.013e+06,5.9691e+05,2.8004e+05,1971.2,2.2378e+06,15752,-1448.1,-18.439,-0.68586,-411.89,-0.0018036,78.532,17.064,0.0408,1.274e+05
2.46,384.55,141.85,4195.7,564.26,4157.6,4532.2,33630,67.402,29205,4.3226e+06,1.305e+06,6.4291e+05,4532.2,4.7705e+06,33630,978.08,12.489,-0.061405,1191.2,-0.00015316,78.315,16.854,0.0408,3.5912e+05
2.51,412.76,141.64,8973.6,1125.4,8902.8,11222,94903,67.226,28776,1.2185e+07,3.4899e+06,1.5895e+06,11222,1.3442e+07,94903,1.3858e+05,1774.4,88.657,106.17,0.016863,78.099,16.643,0.0408,1.6427e+06
2.56,469.03,141.43,30875,3834.9,30636,54190,4.3466e+05,321.26,28347,5.5736e+07,1.5888e+07,7.6643e+06,54190,6.1476e+07,4.3466e+05,7.161e+05,9194.6,548.39,-1.5261e+05,0.023457,77.882,16.433,0.0408,1.9447e+07
2.61,660.77,141.22,1.5434e+06,-8.5002e+05,1.2882e+06,-1.7077e+07,2.5151e+07,1892.6,27918,6.5981e+08,3.7178e+09,-2.4117e+09,-1.7077e+07,3.5519e+09,2.5151e+07,1.4042e+09,1.8081e+07,9.0458e+05,-9.3975e+05,-0.33993,77.666,16.222,0.0408,4.8593e+10
2.62,-41840,141.01,2.2131e+10,2.2131e+10,0,2.2132e+12,0,5.2028e+05,27489,1.6487e+12,3.1141e+14,3.1209e+14,2.2132e+12,-1.0656e+13,0,0,0,9.0458e+05,-1.5432e+09,-0.43135,77.45,16.012,0.0408,9.9916e+18
2.67,2.2127e+08,140.97,1.704e+24,-6.5379e+23,1.5736e+24,-1.3076e+25,3.1471e+25,3.1122e+06,27403,3.3901e+20,4.8042e+27,-1.8433e+27,-1.3076e+25,4.4365e+27,3.1471e+25,2.1659e+27,2.7981e+25,1.399e+24,-1.5418e+09,-0.45083,77.406,15.97,0.0408,5.9232e+46
